Review,Rating,Date,Helpful Count,source,raw_text,cleaned_text,is_relevant,exploration_signal,barriers,categories_mentioned,relevance_reason
Mere oder return le gye par payment abhi tak nhi aaye,1,2026-07-30 13:28:30 UTC,0,play_store,Mere oder return le gye par payment abhi tak nhi aaye,mere oder return le gye par payment abhi tak nhi aaye,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
ita my first order so far it is good to use let's see,5,2026-07-30 13:28:19 UTC,0,play_store,ita my first order so far it is good to use let's see,ita first order far good use let see,False,noise,,,no category-exploration signal
Best delivery app,5,2026-07-30 13:28:12 UTC,1,play_store,Best delivery app,best delivery app,False,noise,,,no category-exploration signal
good service any time 🙏🙏,5,2026-07-30 13:26:46 UTC,0,play_store,good service any time 🙏🙏,good service time,False,noise,,,no category-exploration signal
door step delivery without single call,5,2026-07-30 13:24:35 UTC,0,play_store,door step delivery without single call,door step delivery without single call,False,noise,,,no category-exploration signal
COD option is not available after i cancelled my order bad service bad app,1,2026-07-30 13:24:30 UTC,0,play_store,COD option is not available after i cancelled my order bad service bad app,cod option available cancelled order bad service bad app,True,want_to_explore_blocked,coverage_or_eta|assortment_gap,,intent or category talk with friction/barrier cues
Awesome services..,4,2026-07-30 13:23:14 UTC,1,play_store,Awesome services..,awesome service,False,noise,,,short generic praise/complaint without category cues
very trusted app i am aprishiated,5,2026-07-30 13:23:11 UTC,0,play_store,very trusted app i am aprishiated,trust app aprishiated,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
convient n hassle free,5,2026-07-30 13:21:51 UTC,0,play_store,convient n hassle free,convient n hassle free,False,noise,,,no category-exploration signal
very useful app,5,2026-07-30 13:18:57 UTC,0,play_store,very useful app,useful app,False,noise,,,no category-exploration signal
"accha app h easily har chij mil jati ghar pr baithe baithe, sath hi fresh chij milti h thanku hamari life ko thoda or aasan banane ke liye😇",5,2026-07-30 13:16:50 UTC,0,play_store,"accha app h easily har chij mil jati ghar pr baithe baithe, sath hi fresh chij milti h thanku hamari life ko thoda or aasan banane ke liye😇",accha app h easily har chij mil jati ghar pr baithe baithe sath hi fresh chij milti h thanku hamari life ko thoda aasan banane ke liye,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
extremely good. and keeps getting better by the day!! 👍,5,2026-07-30 13:15:52 UTC,0,play_store,extremely good. and keeps getting better by the day!! 👍,extremely good keep get well day,False,noise,,,no category-exploration signal
it is very nice app,5,2026-07-30 13:15:14 UTC,0,play_store,it is very nice app,nice app,False,noise,,,no category-exploration signal
delevery on time 🙂,5,2026-07-30 13:15:03 UTC,0,play_store,delevery on time 🙂,delevery time,False,noise,,,no category-exploration signal
delivers worst product,1,2026-07-30 13:14:27 UTC,0,play_store,delivers worst product,delivers worst product,False,noise,,,no category-exploration signal
good service blinkit,5,2026-07-30 13:13:01 UTC,0,play_store,good service blinkit,good service blinkit,False,noise,,,no category-exploration signal
mast hai re baba😜,5,2026-07-30 13:11:48 UTC,0,play_store,mast hai re baba😜,mast hai baba,False,noise,,,no category-exploration signal
"★☆ Very poor customer service I had to request an exchange for a mistaken order. The product was sealed and unused. But Blinkit customer care was not helpful at all. Responses are delayed, unclear.No proper resolution and no option to talk to a supervisor. Delivery is fast but support is terrible. Really disappointed. Please improve your customer service.",1,2026-07-30 13:10:31 UTC,0,play_store,"★☆ Very poor customer service I had to request an exchange for a mistaken order. The product was sealed and unused. But Blinkit customer care was not helpful at all. Responses are delayed, unclear.No proper resolution and no option to talk to a supervisor. Delivery is fast but support is terrible. Really disappointed. Please improve your customer service.",poor customer service request exchange mistaken order product seal unused blinkit customer care helpful response delay unclearno proper resolution option talk supervisor delivery fast support terrible really disappointed please improve customer service,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
wrust app,1,2026-07-30 13:10:12 UTC,0,play_store,wrust app,wrust app,False,noise,,,no category-exploration signal
very good aap Thank you much blinkit,5,2026-07-30 13:09:33 UTC,0,play_store,very good aap Thank you much blinkit,good aap thank much blinkit,False,noise,,,no category-exploration signal
fantastic and super fast delivery 👌,5,2026-07-30 13:09:11 UTC,0,play_store,fantastic and super fast delivery 👌,fantastic super fast delivery,False,noise,,,no category-exploration signal
👌 excellent service,5,2026-07-30 13:08:47 UTC,0,play_store,👌 excellent service,excellent service,False,noise,,,short generic praise/complaint without category cues
best service all app,5,2026-07-30 13:08:37 UTC,0,play_store,best service all app,best service app,False,noise,,,no category-exploration signal
PLEASE CHANGE FOR COD AMOUNT 🙏 CAN'T BUY IN 1500 LIMIT ...,1,2026-07-30 13:05:04 UTC,0,play_store,PLEASE CHANGE FOR COD AMOUNT 🙏 CAN'T BUY IN 1500 LIMIT ...,please change cod amount cant buy 1500 limit,False,noise,,,no category-exploration signal
order in this area is pathetically delayed,2,2026-07-30 13:04:22 UTC,0,play_store,order in this area is pathetically delayed,order area pathetically delay,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
super 👌,5,2026-07-30 13:02:18 UTC,0,play_store,super 👌,super,False,noise,,,short generic praise/complaint without category cues
exlent,4,2026-07-30 13:01:56 UTC,0,play_store,exlent,exlent,False,noise,,,no category-exploration signal
"Customer service is worst here. There is no response on the enquiry on chatbox, and when contacted via mail, they have no resolution or answers regarding there damaged product delivery, even when thy especially mention 72 hours replacement available for the item. I have worst experience on this app. Please beware of their product and their services.",1,2026-07-30 13:01:06 UTC,0,play_store,"Customer service is worst here. There is no response on the enquiry on chatbox, and when contacted via mail, they have no resolution or answers regarding there damaged product delivery, even when thy especially mention 72 hours replacement available for the item. I have worst experience on this app. Please beware of their product and their services.",customer service bad response enquiry chatbox contact via mail resolution answer regard damage product delivery even thy especially mention 72 hour replacement available item bad experience app please beware product service,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
best service.,5,2026-07-30 12:58:01 UTC,0,play_store,best service.,best service,False,noise,,,no category-exploration signal
I am happy,5,2026-07-30 12:57:35 UTC,0,play_store,I am happy,happy,False,noise,,,no category-exploration signal
"Really very good and fast service, Keep it up with smiles 😊",5,2026-07-30 12:56:56 UTC,0,play_store,"Really very good and fast service, Keep it up with smiles 😊",really good fast service keep smile,False,noise,,,no category-exploration signal
"Absolutely loved the service Lightning-fast delivery, excellent product quality, and a smooth ordering experience from start to finish. Blinkit never disappoints. Keep up the fantastic work",5,2026-07-30 12:56:45 UTC,0,play_store,"Absolutely loved the service Lightning-fast delivery, excellent product quality, and a smooth ordering experience from start to finish. Blinkit never disappoints. Keep up the fantastic work",absolutely love service lightningfast delivery excellent product quality smooth order experience start finish blinkit never disappoint keep fantastic work,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
okay good,3,2026-07-30 12:53:16 UTC,0,play_store,okay good,okay good,False,noise,,,short generic praise/complaint without category cues
Nice 👌 and so fast 🏃‍♀️,5,2026-07-30 12:52:45 UTC,0,play_store,Nice 👌 and so fast 🏃‍♀️,nice fast,False,noise,,,no category-exploration signal
the order has been delayed waay too much,1,2026-07-30 12:51:20 UTC,0,play_store,the order has been delayed waay too much,order delay waay much,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
most best website no scams at all Loved so much😊☺️,5,2026-07-30 12:51:13 UTC,0,play_store,most best website no scams at all Loved so much😊☺️,best website scam love much,False,noise,,,no category-exploration signal
Products are FIVE STAR & DELIVERED ON TIME. SOME OF YOUR DELIVERY EXECUTIVES ARE RUDE & NOT COOPERATIVE.,3,2026-07-30 12:49:10 UTC,1,play_store,Products are FIVE STAR & DELIVERED ON TIME. SOME OF YOUR DELIVERY EXECUTIVES ARE RUDE & NOT COOPERATIVE.,product five star deliver time delivery executive rude cooperative,False,noise,,,no category-exploration signal
Great app,5,2026-07-30 12:45:10 UTC,0,play_store,Great app,great app,False,noise,,,no category-exploration signal
nice and helpful,5,2026-07-30 12:45:02 UTC,0,play_store,nice and helpful,nice helpful,False,noise,,,no category-exploration signal
They don't send disposable spoons with items that actually require them—is one supposed to stick a finger in and eat it?,1,2026-07-30 12:44:18 UTC,1,play_store,They don't send disposable spoons with items that actually require them—is one supposed to stick a finger in and eat it?,dont send disposable spoon item actually require one suppose stick finger eat,False,noise,,,no category-exploration signal
Price too much but it's good,3,2026-07-30 12:44:00 UTC,0,play_store,Price too much but it's good,price much good,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
why handling fee,1,2026-07-30 12:43:04 UTC,0,play_store,why handling fee,handle fee,False,noise,,,no category-exploration signal
not delivered to product 😠😡,1,2026-07-30 12:40:44 UTC,1,play_store,not delivered to product 😠😡,deliver product,False,noise,,,no category-exploration signal
great app♥️,5,2026-07-30 12:37:34 UTC,0,play_store,great app♥️,great app,False,noise,,,no category-exploration signal
very good 👍🏻 👏🏻,5,2026-07-30 12:35:00 UTC,0,play_store,very good 👍🏻 👏🏻,good,False,noise,,,no category-exploration signal
life saver,5,2026-07-30 12:34:45 UTC,0,play_store,life saver,life saver,False,noise,,,no category-exploration signal
more difficult to find exact location 😕,4,2026-07-30 12:34:42 UTC,0,play_store,more difficult to find exact location 😕,difficult find exact location,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
order fast kro,5,2026-07-30 12:31:35 UTC,0,play_store,order fast kro,order fast kro,False,noise,,,no category-exploration signal
'Help' is not accessible to the user easily. 30/July/2026. Still as hopeless as ever.,1,2026-07-30 12:25:48 UTC,0,play_store,'Help' is not accessible to the user easily. 30/July/2026. Still as hopeless as ever.,help accessible user easily 30july2026 still hopeless ever,False,noise,,,no category-exploration signal
good service 👍😎,5,2026-07-30 12:25:32 UTC,0,play_store,good service 👍😎,good service,False,noise,,,no category-exploration signal
all items are good 👍,5,2026-07-30 12:24:53 UTC,0,play_store,all items are good 👍,item good,False,noise,,,no category-exploration signal
wow,5,2026-07-30 12:23:05 UTC,0,play_store,wow,wow,False,noise,,,no category-exploration signal
too exorbitant,1,2026-07-30 12:20:56 UTC,0,play_store,too exorbitant,exorbitant,False,noise,,,no category-exploration signal
best sarvice,5,2026-07-30 12:18:27 UTC,0,play_store,best sarvice,best sarvice,False,noise,,,no category-exploration signal
customer support khrab hai,1,2026-07-30 12:18:01 UTC,0,play_store,customer support khrab hai,customer support khrab hai,False,noise,,,no category-exploration signal
wrong delivery,1,2026-07-30 12:16:45 UTC,0,play_store,wrong delivery,wrong delivery,False,noise,,,no category-exploration signal
very fast,5,2026-07-30 12:14:47 UTC,0,play_store,very fast,fast,False,noise,,,no category-exploration signal
very good and fast delivery👍💗,5,2026-07-30 12:12:54 UTC,0,play_store,very good and fast delivery👍💗,good fast delivery,False,noise,,,no category-exploration signal
good but slightly costly,4,2026-07-30 12:11:26 UTC,0,play_store,good but slightly costly,good slightly costly,True,want_to_explore_blocked,price_uncertainty_new_category,,intent or category talk with friction/barrier cues
"IT'S A VERY good app, the only problem is about the location sometimes I have to tell the location to the delivery boy several times good app nice app and the second problem is they aren't keeping the small packet like If I want to buy chips and I want a 10 rupee packet it's not available !!! it's not good challlooo baaki overall good",4,2026-07-30 12:11:19 UTC,0,play_store,"IT'S A VERY good app, the only problem is about the location sometimes I have to tell the location to the delivery boy several times good app nice app and the second problem is they aren't keeping the small packet like If I want to buy chips and I want a 10 rupee packet it's not available !!! it's not good challlooo baaki overall good",good app problem location sometimes tell location delivery boy several time good app nice app second problem arent keep small packet like want buy chip want 10 rupee packet available good challlooo baaki overall good,True,want_to_explore_blocked,coverage_or_eta|assortment_gap,snacks,intent or category talk with friction/barrier cues
very good experience 👌,5,2026-07-30 12:11:03 UTC,0,play_store,very good experience 👌,good experience,False,noise,,,no category-exploration signal
Good nice 👍🏻 👍🏻,5,2026-07-30 12:10:30 UTC,0,play_store,Good nice 👍🏻 👍🏻,good nice,False,noise,,,no category-exploration signal
very quick and reliable service.,5,2026-07-30 12:10:19 UTC,0,play_store,very quick and reliable service.,quick reliable service,False,noise,,,no category-exploration signal
"Good,More use AI",5,2026-07-30 12:08:02 UTC,0,play_store,"Good,More use AI",goodmore use ai,False,noise,,,no category-exploration signal
best e commerce company and you got under 30 min order products to order from Blinkit,5,2026-07-30 12:07:09 UTC,0,play_store,best e commerce company and you got under 30 min order products to order from Blinkit,best e commerce company get 30 min order product order blinkit,False,noise,,,no category-exploration signal
goodies really good website,5,2026-07-30 12:06:49 UTC,0,play_store,goodies really good website,goody really good website,False,noise,,,no category-exploration signal
ya log bat nahi sunta hai .enko bas apna order ki pardi rehti hai .,1,2026-07-30 12:04:43 UTC,0,play_store,ya log bat nahi sunta hai .enko bas apna order ki pardi rehti hai .,ya log bat nahi sunta hai enko ba apna order ki pardi rehti hai,False,noise,,,no category-exploration signal
ghatiya,1,2026-07-30 12:00:40 UTC,0,play_store,ghatiya,ghatiya,False,noise,,,no category-exploration signal
best best best best app,5,2026-07-30 12:00:08 UTC,0,play_store,best best best best app,best best best best app,False,noise,,,no category-exploration signal
"exceptional service , thoroughly impressed.",5,2026-07-30 11:55:57 UTC,0,play_store,"exceptional service , thoroughly impressed.",exceptional service thoroughly impressed,False,noise,,,no category-exploration signal
the app is so smooth and easily to take the order l love the app,5,2026-07-30 11:54:45 UTC,0,play_store,the app is so smooth and easily to take the order l love the app,app smooth easily take order l love app,False,noise,,,no category-exploration signal
delivery timing is good 👍🏻,5,2026-07-30 11:54:16 UTC,0,play_store,delivery timing is good 👍🏻,delivery timing good,False,noise,,,no category-exploration signal
bad,1,2026-07-30 11:51:22 UTC,0,play_store,bad,bad,False,noise,,,no category-exploration signal
add more address in your app for right location,4,2026-07-30 11:50:40 UTC,0,play_store,add more address in your app for right location,add address app right location,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
fraud and duplicate item send,1,2026-07-30 11:49:26 UTC,0,play_store,fraud and duplicate item send,fraud duplicate item send,False,noise,,,no category-exploration signal
worth it price! appreciable 😻🎀,5,2026-07-30 11:44:51 UTC,0,play_store,worth it price! appreciable 😻🎀,worth price appreciable,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
why always take handling charges 😞 bad,3,2026-07-30 11:44:37 UTC,0,play_store,why always take handling charges 😞 bad,always take handling charge bad,True,want_to_explore_blocked,price_uncertainty_new_category,,intent or category talk with friction/barrier cues
item is so bad,1,2026-07-30 11:42:25 UTC,0,play_store,item is so bad,item bad,False,noise,,,no category-exploration signal
Fastest & Genuine delivery app.,5,2026-07-30 11:39:08 UTC,0,play_store,Fastest & Genuine delivery app.,fast genuine delivery app,False,noise,,,no category-exploration signal
cheep products they sell expiry products and also hides the expiry date,1,2026-07-30 11:36:52 UTC,0,play_store,cheep products they sell expiry products and also hides the expiry date,cheep product sell expiry product also hide expiry date,False,noise,,,no category-exploration signal
good👍👍👍👍,5,2026-07-30 11:33:10 UTC,0,play_store,good👍👍👍👍,good,False,noise,,,no category-exploration signal
Noice,5,2026-07-30 11:31:22 UTC,0,play_store,Noice,noice,False,noise,,,no category-exploration signal
it's very good 👍😊,5,2026-07-30 11:31:18 UTC,0,play_store,it's very good 👍😊,good,False,noise,,,no category-exploration signal
💯💯,5,2026-07-30 11:30:53 UTC,0,play_store,💯💯,💯💯,False,noise,,,no category-exploration signal
"Hi Blinkit team, I would like to suggest a new feature where customers can transfer money through the app and request delivery of physical cash to their doorstep for a service fee. This could help people who need emergency cash and cannot access an ATM. I believe this would be a valuable addition to your platform.",5,2026-07-30 11:29:59 UTC,0,play_store,"Hi Blinkit team, I would like to suggest a new feature where customers can transfer money through the app and request delivery of physical cash to their doorstep for a service fee. This could help people who need emergency cash and cannot access an ATM. I believe this would be a valuable addition to your platform.",hi blinkit team would like suggest new feature customer transfer money app request delivery physical cash doorstep service fee could help people need emergency cash access atm believe would valuable addition platform,False,noise,,,no category-exploration signal
very unhelpful on returns of products and refuse to take responsibility,1,2026-07-30 11:28:22 UTC,1,play_store,very unhelpful on returns of products and refuse to take responsibility,unhelpful return product refuse take responsibility,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
👌,5,2026-07-30 11:26:34 UTC,0,play_store,👌,👌,False,noise,,,no category-exploration signal
Cash on delivery not available,1,2026-07-30 11:22:22 UTC,0,play_store,Cash on delivery not available,cash delivery available,True,want_to_explore_blocked,coverage_or_eta|assortment_gap,,intent or category talk with friction/barrier cues
"My experience with blinkit was nice, the delivery partners had a very polite behaviour and professional attitude, expect some (1-2), beyond that service was nice and fast, product came clean and the paper bags were also good. But in Srinagar, blinkit does have much options currently. And also it takes them a lot of time to restock items, hope this issues resolves in future.",4,2026-07-30 11:20:23 UTC,0,play_store,"My experience with blinkit was nice, the delivery partners had a very polite behaviour and professional attitude, expect some (1-2), beyond that service was nice and fast, product came clean and the paper bags were also good. But in Srinagar, blinkit does have much options currently. And also it takes them a lot of time to restock items, hope this issues resolves in future.",experience blinkit nice delivery partner polite behaviour professional attitude expect 12 beyond service nice fast product come clean paper bag also good srinagar blinkit much option currently also take lot time restock item hope issue resolve future,False,noise,,,no category-exploration signal
good 👍🏻😊,5,2026-07-30 11:20:01 UTC,0,play_store,good 👍🏻😊,good,False,noise,,,no category-exploration signal
best Groceries and service fast delivery,5,2026-07-30 11:18:15 UTC,0,play_store,best Groceries and service fast delivery,best grocery service fast delivery,False,noise,,,no category-exploration signal
expire food,1,2026-07-30 11:17:32 UTC,0,play_store,expire food,expire food,False,noise,,,no category-exploration signal
👌🏻,5,2026-07-30 11:16:53 UTC,0,play_store,👌🏻,👌🏻,False,noise,,,no category-exploration signal
helpfull and great service.,5,2026-07-30 11:15:41 UTC,0,play_store,helpfull and great service.,helpfull great service,False,noise,,,no category-exploration signal
I am becoming lazzzyy.....,5,2026-07-30 11:15:39 UTC,0,play_store,I am becoming lazzzyy.....,become lazzzyy,False,noise,,,no category-exploration signal
all delivary no free,1,2026-07-30 11:15:28 UTC,0,play_store,all delivary no free,delivary free,False,noise,,,no category-exploration signal
Very fast deu & Very nice Cwality I am very happy,5,2026-07-30 11:14:31 UTC,0,play_store,Very fast deu & Very nice Cwality I am very happy,fast deu nice cwality happy,False,noise,,,no category-exploration signal
taking a surge amount every time,1,2026-07-30 11:12:23 UTC,0,play_store,taking a surge amount every time,take surge amount every time,True,want_to_explore_blocked,price_uncertainty_new_category,,intent or category talk with friction/barrier cues
"Do not send paper bags, send only plastic bags. You charged Delivery Charges Only. But other platforms charged many things and i have to make sure for any new charges for every order COD, rain, sun, water logging, congestion, traffic jam etc. Finally I uninstall all other platforms and have blinkit only",5,2026-07-30 11:11:22 UTC,0,play_store,"Do not send paper bags, send only plastic bags. You charged Delivery Charges Only. But other platforms charged many things and i have to make sure for any new charges for every order COD, rain, sun, water logging, congestion, traffic jam etc. Finally I uninstall all other platforms and have blinkit only",send paper bag send plastic bag charge delivery charge platforms charge many thing make sure new charge every order cod rain sun water log congestion traffic jam etc finally uninstall platform blinkit,False,noise,,,no category-exploration signal
delivery is so good,4,2026-07-30 11:09:17 UTC,0,play_store,delivery is so good,delivery good,False,noise,,,no category-exploration signal
awesome delivery service... not even big countries like russia and usa have such a sped up service... thanks,5,2026-07-30 11:07:46 UTC,0,play_store,awesome delivery service... not even big countries like russia and usa have such a sped up service... thanks,awesome delivery service even big country like russia usa speed service thanks,False,noise,,,no category-exploration signal
very 👍🏻 nice 🙂 app🌲,5,2026-07-30 11:07:35 UTC,0,play_store,very 👍🏻 nice 🙂 app🌲,nice app,False,noise,,,no category-exploration signal
"this aap was really good , I'm very satisfied with this aap 👍🏻",5,2026-07-30 11:07:18 UTC,0,play_store,"this aap was really good , I'm very satisfied with this aap 👍🏻",aap really good im satisfy aap,False,noise,,,no category-exploration signal
😍,5,2026-07-30 11:06:16 UTC,0,play_store,😍,😍,False,noise,,,no category-exploration signal
deliveries were not accurate,1,2026-07-30 11:04:44 UTC,0,play_store,deliveries were not accurate,delivery accurate,False,noise,,,no category-exploration signal
"I had a very disappointing experience with Blinkit. I ordered a boAt Stone 350 Pro Bluetooth Speaker, but I received a different Bluetooth speaker. I reported the issue immediately and shared all the requested photos and videos. Despite multiple follow-ups, my request for a replacement or refund was rejected after their investigation. Based on my experience, I would be very cautious about ordering electronic items from Blinkit until stronger customer protection measures, such as open-box verific",1,2026-07-30 11:03:55 UTC,0,play_store,"I had a very disappointing experience with Blinkit. I ordered a boAt Stone 350 Pro Bluetooth Speaker, but I received a different Bluetooth speaker. I reported the issue immediately and shared all the requested photos and videos. Despite multiple follow-ups, my request for a replacement or refund was rejected after their investigation. Based on my experience, I would be very cautious about ordering electronic items from Blinkit until stronger customer protection measures, such as open-box verific",disappointing experience blinkit order boat stone 350 pro bluetooth speaker receive different bluetooth speaker report issue immediately share request photo video despite multiple followup request replacement refund reject investigation base experience would cautious order electronic item blinkit strong customer protection measure openbox verific,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
"My refund has still not been credited to my account, and I couldn't find any contact number for your support team. How will my issue be resolved? How can I get my refund back?",1,2026-07-30 11:01:50 UTC,0,play_store,"My refund has still not been credited to my account, and I couldn't find any contact number for your support team. How will my issue be resolved? How can I get my refund back?",refund still credit account couldnt find contact number support team issue resolve get refund back,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
no coupon apply,1,2026-07-30 10:58:35 UTC,0,play_store,no coupon apply,coupon apply,False,noise,,,no category-exploration signal
Nothing To Say it's Word less,5,2026-07-30 10:57:48 UTC,0,play_store,Nothing To Say it's Word less,nothing say word less,False,noise,,,no category-exploration signal
best experience,5,2026-07-30 10:54:37 UTC,0,play_store,best experience,best experience,False,noise,,,no category-exploration signal
this is very helpful app,5,2026-07-30 10:53:08 UTC,0,play_store,this is very helpful app,helpful app,False,noise,,,no category-exploration signal
"i have ordered a list of games and items for my niece on her birthday, I have paid 30 rs for gift packaging, but none of the items came gift wrapped. it's end the surprise. blinkit is earning money by these kinds of tricks.. so bad...will never use it now",1,2026-07-30 10:51:37 UTC,0,play_store,"i have ordered a list of games and items for my niece on her birthday, I have paid 30 rs for gift packaging, but none of the items came gift wrapped. it's end the surprise. blinkit is earning money by these kinds of tricks.. so bad...will never use it now",ordered list game item niece birthday pay 30 r gift package none item come gift wrap end surprise blinkit earn money kind trick badwill never use,False,noise,,,no category-exploration signal
zepto is way better,3,2026-07-30 10:50:00 UTC,0,play_store,zepto is way better,zepto way well,False,noise,,,no category-exploration signal
deliverey fast good product,4,2026-07-30 10:49:05 UTC,0,play_store,deliverey fast good product,deliverey fast good product,False,noise,,,no category-exploration signal
great platform,5,2026-07-30 10:45:04 UTC,0,play_store,great platform,great platform,False,noise,,,no category-exploration signal
delivery is never available when you actually need something.,1,2026-07-30 10:43:46 UTC,0,play_store,delivery is never available when you actually need something.,delivery never available actually need something,False,noise,,,no category-exploration signal
awesome 👌,5,2026-07-30 10:39:01 UTC,0,play_store,awesome 👌,awesome,False,noise,,,short generic praise/complaint without category cues
amazing amazing app...1000prcnt satisfied...Ty blinkit😊,5,2026-07-30 10:35:23 UTC,0,play_store,amazing amazing app...1000prcnt satisfied...Ty blinkit😊,amaze amaze app1000prcnt satisfiedty blinkit,False,noise,,,no category-exploration signal
Unimaginable fast door step reasonable service ever thought of .Especially good for senior citizens. My best wishes For the last few days unable to see balance and profile icon on the right top corner of the app. Reinstalled once but problem again after 2-3 days. Please help. Thanks,4,2026-07-30 10:32:30 UTC,0,play_store,Unimaginable fast door step reasonable service ever thought of .Especially good for senior citizens. My best wishes For the last few days unable to see balance and profile icon on the right top corner of the app. Reinstalled once but problem again after 2-3 days. Please help. Thanks,unimaginable fast door step reasonable service ever think especially good senior citizen best wish last day unable see balance profile icon right top corner app reinstall problem 23 day please help thanks,False,noise,,,no category-exploration signal
og service 🫶🏻🤍,5,2026-07-30 10:32:07 UTC,0,play_store,og service 🫶🏻🤍,og service,False,noise,,,no category-exploration signal
"The delivery boy's behavior was appalling. I have a child at home, so my wife went to receive the order. Since she didn't have an online balance on her phone, she asked him to take a photo of the company's scanner and send it to me so I could make the payment online. The delivery boy retorted, ""If I had known this, I would have cancelled the order beforehand; I don't have that kind of time—you make the payment."" He kept asking inappropriate questions like, ""Why does your husband have to do it?""",1,2026-07-30 10:30:34 UTC,0,play_store,"The delivery boy's behavior was appalling. I have a child at home, so my wife went to receive the order. Since she didn't have an online balance on her phone, she asked him to take a photo of the company's scanner and send it to me so I could make the payment online. The delivery boy retorted, ""If I had known this, I would have cancelled the order beforehand; I don't have that kind of time—you make the payment."" He kept asking inappropriate questions like, ""Why does your husband have to do it?""",delivery boys behavior appal child home wife go receive order since didnt online balance phone ask take photo company scanner send could make payment online delivery boy retort know would cancel order beforehand dont kind time make payment keep ask inappropriate question like husband,True,want_to_explore_blocked,assortment_gap,electronics|home,intent or category talk with friction/barrier cues
products from this app are good but behaviour of delivery partner is so rude they don't have any sense or manners how to talk some of them are good in nature and behaviour some of them are so rude,1,2026-07-30 10:28:51 UTC,0,play_store,products from this app are good but behaviour of delivery partner is so rude they don't have any sense or manners how to talk some of them are good in nature and behaviour some of them are so rude,product app good behaviour delivery partner rude dont sense manner talk good nature behaviour rude,True,want_to_explore_blocked,assortment_gap,,intent or category talk with friction/barrier cues
Very helpful 👌 ☺️,5,2026-07-30 10:27:49 UTC,0,play_store,Very helpful 👌 ☺️,helpful,False,noise,,,no category-exploration signal
best last min app,5,2026-07-30 10:24:48 UTC,0,play_store,best last min app,best last min app,False,noise,,,no category-exploration signal
makes our work easier and less price than market value,5,2026-07-30 10:24:38 UTC,0,play_store,makes our work easier and less price than market value,make work easier less price market value,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
Blinkit was working in my area till last week but now it is showing as currently unavailable please fix this issue quickly as soon as possible,2,2026-07-30 10:23:46 UTC,0,play_store,Blinkit was working in my area till last week but now it is showing as currently unavailable please fix this issue quickly as soon as possible,blinkit work area till last week show currently unavailable please fix issue quickly soon possible,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
Very easy and fast delivery process if you want something quickly. Love this!!,5,2026-07-30 10:23:01 UTC,0,play_store,Very easy and fast delivery process if you want something quickly. Love this!!,easy fast delivery process want something quickly love,False,noise,,,no category-exploration signal
prices are a bit high compared to different apps,4,2026-07-30 10:19:00 UTC,0,play_store,prices are a bit high compared to different apps,price bit high compare different apps,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
to much price hike in this platform,1,2026-07-30 10:17:07 UTC,0,play_store,to much price hike in this platform,much price hike platform,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
you donot give things in a packet,1,2026-07-30 10:15:16 UTC,0,play_store,you donot give things in a packet,donot give thing packet,False,noise,,,no category-exploration signal
Thanks For This Service,5,2026-07-30 10:12:12 UTC,0,play_store,Thanks For This Service,thanks service,False,noise,,,no category-exploration signal
not delivered at my location,2,2026-07-30 10:10:55 UTC,0,play_store,not delivered at my location,deliver location,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
